Country,Latitude,Longitude,Wins,Runners-up,Total finals,Years won,Years runners-up
Brazil,-14.235004,-51.92528,5,2,7,"1958, 1962, 1970, 1994, 2002","1950, 1998"
Germany,51.165691,10.451526,4,4,8,"1954, 1974, 1990, 2014","1966, 1982, 1986, 2002"
Italy,41.87194,12.56738,4,2,6,"1934, 1938, 1982, 2006","1970, 1994"
Argentina,-38.416097,-63.616672,2,3,5,"1978, 1986","1930, 1990, 2014"
France,46.227638,2.213749,2,1,3,"1998, 2018",2006
Uruguay,-32.522779,-55.765835,2,0,2,"1930, 1950",–
England,52.3555177,-1.1743197,1,0,1,1966,–
Spain,40.463667,-3.74922,1,0,1,2010,–
Netherlands,52.132633,5.291266,0,3,3,–,"1974, 1978, 2010"
Czech Republic,49.817492,15.472962,0,2,2,–,"1934, 1962"
Hungary,47.162494,19.5033041,0,2,2,–,"1938, 1954"
Sweden,60.128161,18.643501,0,1,1,–,1958
Croatia,45.1,15.2000001,0,1,1,–,2018
